content,prior_type,state,n,prop
Mary is pregnant,factH,8,41,0.0951276102088167
Mary is pregnant,factH,9,85,0.19721577726218098
Mary is pregnant,factH,10,248,0.5754060324825986
Mary is pregnant,factL,1,207,0.47586206896551725
Mary is pregnant,factL,2,94,0.2160919540229885
Mary is pregnant,factL,3,53,0.12183908045977011
Mary is pregnant,factL,4,32,0.0735632183908046
Mary is pregnant,factL,5,16,0.0367816091954023
Mary is pregnant,factL,6,11,0.02528735632183908
Mary is pregnant,factL,7,7,0.016091954022988506
Mary is pregnant,factL,8,7,0.016091954022988506
Mary is pregnant,factL,9,5,0.011494252873563218
Mary is pregnant,factL,10,3,0.006896551724137931
Mia drank 2 cocktails last night,factH,1,7,0.01643192488262911
Mia drank 2 cocktails last night,factH,2,11,0.025821596244131457
Mia drank 2 cocktails last night,factH,3,24,0.056338028169014086
Mia drank 2 cocktails last night,factH,4,31,0.07276995305164319
Mia drank 2 cocktails last night,factH,5,69,0.1619718309859155
Mia drank 2 cocktails last night,factH,6,128,0.3004694835680751
Mia drank 2 cocktails last night,factH,7,69,0.1619718309859155
Mia drank 2 cocktails last night,factH,8,49,0.11502347417840375
Mia drank 2 cocktails last night,factH,9,24,0.056338028169014086
Mia drank 2 cocktails last night,factH,10,14,0.03286384976525822
Mia drank 2 cocktails last night,factL,1,237,0.5386363636363637
Mia drank 2 cocktails last night,factL,2,71,0.16136363636363638
Mia drank 2 cocktails last night,factL,3,40,0.09090909090909091
Mia drank 2 cocktails last night,factL,4,25,0.056818181818181816
Mia drank 2 cocktails last night,factL,5,19,0.04318181818181818
Mia drank 2 cocktails last night,factL,6,23,0.05227272727272727
Mia drank 2 cocktails last night,factL,7,8,0.01818181818181818
Mia drank 2 cocktails last night,factL,8,10,0.022727272727272728
Mia drank 2 cocktails last night,factL,9,5,0.011363636363636364
Mia drank 2 cocktails last night,factL,10,2,0.004545454545454545
Olivia sleeps until noon,factH,1,14,0.03263403263403263
Olivia sleeps until noon,factH,2,3,0.006993006993006993
Olivia sleeps until noon,factH,3,13,0.030303030303030304
Olivia sleeps until noon,factH,4,12,0.027972027972027972
Olivia sleeps until noon,factH,5,17,0.039627039627039624
Olivia sleeps until noon,factH,6,31,0.07226107226107226
Olivia sleeps until noon,factH,7,74,0.17249417249417248
Olivia sleeps until noon,factH,8,110,0.2564102564102564
Olivia sleeps until noon,factH,9,85,0.19813519813519814
Olivia sleeps until noon,factH,10,70,0.16317016317016317
Olivia sleeps until noon,factL,1,223,0.5102974828375286
Olivia sleeps until noon,factL,2,102,0.2334096109839817
Olivia sleeps until noon,factL,3,40,0.09153318077803203
Olivia sleeps until noon,factL,4,17,0.038901601830663615
Olivia sleeps until noon,factL,5,14,0.032036613272311214
Olivia sleeps until noon,factL,6,13,0.029748283752860413
Olivia sleeps until noon,factL,7,4,0.009153318077803204
Olivia sleeps until noon,factL,8,12,0.02745995423340961
Olivia sleeps until noon,factL,9,9,0.020594965675057208
Olivia sleeps until noon,factL,10,3,0.006864988558352402
Owen shoveled snow last winter,factH,1,3,0.006772009029345372
Owen shoveled snow last winter,factH,2,2,0.004514672686230248
Owen shoveled snow last winter,factH,3,1,0.002257336343115124
Owen shoveled snow last winter,factH,4,10,0.022573363431151242
Owen shoveled snow last winter,factH,5,10,0.022573363431151242
Owen shoveled snow last winter,factH,6,46,0.1038374717832957
Owen shoveled snow last winter,factH,7,45,0.10158013544018059
Owen shoveled snow last winter,factH,8,84,0.18961625282167044
Owen shoveled snow last winter,factH,9,97,0.21896162528216703
Owen shoveled snow last winter,factH,10,145,0.327313769751693
Owen shoveled snow last winter,factL,1,169,0.39952718676122934
Owen shoveled snow last winter,factL,2,92,0.21749408983451538
Owen shoveled snow last winter,factL,3,53,0.12529550827423167
Owen shoveled snow last winter,factL,4,27,0.06382978723404255
Owen shoveled snow last winter,factL,5,18,0.0425531914893617
Owen shoveled snow last winter,factL,6,22,0.05200945626477541
Owen shoveled snow last winter,factL,7,13,0.030732860520094562
Owen shoveled snow last winter,factL,8,6,0.014184397163120567
